STA,Precip,MinTemp,MaxTemp
10001,0,23.33333333,32.22222222
10001,0,22.77777778,32.22222222
10001,0,22.77777778,32.22222222
10001,0,22.77777778,32.22222222
10001,0,22.77777778,32.22222222
10001,T,22.77777778,32.22222222
10001,0,23.33333333,32.77777778
10001,0,23.33333333,31.66666667
10001,0,22.77777778,31.66666667
10001,0,23.33333333,31.66666667
10001,T,22.77777778,32.22222222
10001,0,21.11111111,31.66666667
10001,0,23.33333333,32.77777778
10001,0,23.33333333,32.22222222
10001,0,23.33333333,33.33333333
10001,0,22.22222222,32.22222222
10001,19.05,21.66666667,32.77777778
10001,0,21.66666667,31.11111111
10001,0,22.77777778,32.22222222
10001,T,23.33333333,32.77777778
10001,0,22.22222222,32.22222222
